id,Quarter Cohort,Nationality,Gender,Age Group,Status,Days to Decision,Count
49,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,70,1
50,2017 Q3,Iran,Female,31 to 40,Claim Rejected,41,1
51,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,0,1
52,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,57,1
53,2017 Q3,Bangladesh,Female,Under 18,Claim Accepted,87,1
54,2017 Q3,Jamaica,Female,18 to 25,Claim Rejected,52,1
55,2017 Q3,Ghana,Female,Under 18,Claim Rejected,51,1
56,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,45,1
57,2017 Q3,Ghana,Female,41 to 50,Claim Rejected,59,1
58,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,66,1
59,2017 Q3,Nigeria,Female,26 to 30,Claim Rejected,47,1
60,2017 Q3,Congo (Democratic Republic),Female,26 to 30,Claim Accepted,70,1
61,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,52,1
62,2017 Q3,Jamaica,Male,51 to 60,Claim Rejected,4,1
63,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,104,1
64,2017 Q3,Uganda,Female,31 to 40,Claim Rejected,60,1
65,2017 Q3,Lebanon,Female,Under 18,Claim Rejected,78,1
66,2017 Q3,Nigeria,Male,Under 18,Claim Rejected,61,1
67,2017 Q3,Ghana,Female,41 to 50,Claim Accepted,75,1
68,2017 Q3,Nigeria,Male,18 to 25,Claim Accepted,56,1
69,2017 Q3,Jamaica,Female,41 to 50,Claim Rejected,69,1
70,2017 Q3,Congo (Democratic Republic),Male,Under 18,Claim Accepted,70,1
71,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,84,1
72,2017 Q3,Pakistan,Male,Under 18,Claim Rejected,88,1
73,2017 Q3,Pakistan,Male,31 to 40,Claim Rejected,51,1
74,2017 Q3,Trinidad & Tobago,Female,31 to 40,Claim Rejected,37,1
75,2017 Q3,Nigeria,Female,18 to 25,Claim Accepted,88,1
76,2017 Q3,Jamaica,Female,41 to 50,Claim Accepted,44,1
77,2017 Q3,Jamaica,Male,41 to 50,Claim Rejected,52,1
78,2017 Q3,India,Male,Under 18,Claim Accepted,65,1
79,2017 Q3,Eritrea,Female,Under 18,Claim Accepted,42,1
80,2017 Q3,Ghana,Male,Under 18,Claim Rejected,51,1
81,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,84,1
82,2017 Q3,Comoros,Female,31 to 40,Claim Rejected,85,1
83,2017 Q3,Jamaica,Female,Under 18,Claim Accepted,65,1
84,2017 Q3,Ghana,Male,51 to 60,Claim Rejected,55,1
85,2017 Q3,Nigeria,Male,41 to 50,Claim Accepted,40,1
86,2017 Q3,Pakistan,Female,31 to 40,Claim Rejected,83,1
87,2017 Q3,Ivory Coast,Female,31 to 40,Claim Rejected,77,1
88,2017 Q3,Ghana,Male,Under 18,Claim Accepted,54,1
89,2017 Q3,Tanzania,Female,41 to 50,Claim Rejected,52,1
90,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,62,1
91,2017 Q3,United States,Female,Under 18,Claim Accepted,67,1
92,2017 Q3,Ghana,Male,Under 18,Claim Accepted,95,1
93,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,104,1
94,2017 Q3,India,Female,31 to 40,Claim Accepted,65,1
95,2017 Q3,Jamaica,Male,Under 18,Claim Accepted,69,1
96,2017 Q3,India,Female,31 to 40,Claim Accepted,77,1
97,2017 Q3,Pakistan,Female,Under 18,Claim Rejected,74,1
98,2017 Q3,Ghana,Female,31 to 40,Claim Accepted,27,1
99,2017 Q3,Nigeria,Male,Under 18,Claim Rejected,50,1
100,2017 Q3,Jamaica,Female,41 to 50,Claim Rejected,59,1
101,2017 Q3,Brazil,Female,31 to 40,Claim Accepted,71,1
102,2017 Q3,Ghana,Male,41 to 50,Claim Rejected,77,1
103,2017 Q3,Ivory Coast,Female,Under 18,Claim Rejected,77,1
104,2017 Q3,Nepal,Female,41 to 50,Claim Accepted,160,1
105,2017 Q3,South Africa,Male,18 to 25,Claim Accepted,77,1
106,2017 Q3,Ghana,Female,Under 18,Claim Rejected,102,1
107,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,63,1
108,2017 Q3,Sierra Leone,Female,41 to 50,Claim Accepted,73,1
109,2017 Q3,Kenya,Female,31 to 40,Claim Accepted,7,1
110,2017 Q3,Namibia,Female,31 to 40,Claim Rejected,85,1
111,2017 Q3,Libya,Female,Under 18,Claim Rejected,52,1
112,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,0,1
113,2017 Q3,Jamaica,Female,31 to 40,Claim Accepted,41,1
114,2017 Q3,Congo (Democratic Republic),Female,Under 18,Claim Accepted,70,1
115,2017 Q3,Nigeria,Male,41 to 50,Claim Rejected,61,1
116,2017 Q3,Philippines,Female,31 to 40,Claim Rejected,74,1
117,2017 Q3,Uganda,Male,Under 18,Claim Rejected,79,1
118,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,89,1
119,2017 Q3,Mauritius,Female,Under 18,Claim Rejected,76,1
120,2017 Q3,Jamaica,Female,31 to 40,Claim Rejected,66,1
121,2017 Q3,Eritrea,Male,31 to 40,Claim Rejected,386,1
122,2017 Q3,Uganda,Female,31 to 40,Claim Rejected,1,1
123,2017 Q3,Afghanistan,Female,18 to 25,Claim Accepted,53,1
124,2017 Q3,Egypt,Female,Under 18,Claim Accepted,1,1
125,2017 Q3,Ghana,Female,Under 18,Claim Rejected,77,1
126,2017 Q3,Cameroon,Male,31 to 40,Claim Rejected,84,1
127,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,75,1
128,2017 Q3,Afghanistan,Female,31 to 40,Claim Rejected,83,1
129,2017 Q3,Nigeria,Female,26 to 30,Claim Accepted,12,1
130,2017 Q3,Ghana,Male,Under 18,Claim Rejected,55,1
131,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,40,1
132,2017 Q3,Ghana,Female,41 to 50,Claim Rejected,58,1
133,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,45,1
134,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,7,1
135,2017 Q3,China,Female,31 to 40,Claim Rejected,145,1
136,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,51,1
137,2017 Q3,Jamaica,Female,31 to 40,Claim Accepted,65,1
138,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,50,1
139,2017 Q3,Ghana,Female,31 to 40,Claim Accepted,112,1
140,2017 Q3,Nigeria,Male,31 to 40,Claim Rejected,64,1
141,2017 Q3,Zimbabwe,Female,31 to 40,Claim Rejected,61,1
142,2017 Q3,Sri Lanka,Female,41 to 50,Claim Rejected,42,1
143,2017 Q3,Jamaica,Female,41 to 50,Claim Rejected,59,1
144,2017 Q3,Eritrea,Female,31 to 40,Claim Accepted,42,1
145,2017 Q3,Egypt,Male,Under 18,Claim Accepted,1,1
146,2017 Q3,British Citizen,Male,Under 18,Claim Rejected,55,1
147,2017 Q3,Ivory Coast,Female,31 to 40,Claim Rejected,84,1
148,2017 Q3,Algeria,Male,31 to 40,Claim Rejected,1,1
149,2017 Q3,Congo Democratic Republic,Female,26 to 30,Claim Accepted,74,1
150,2017 Q3,Pakistan,Female,Under 18,Claim Rejected,88,1
151,2017 Q3,Jamaica,Female,41 to 50,Claim Accepted,57,1
152,2017 Q3,British Citizen,Male,Under 18,Claim Rejected,59,1
153,2017 Q3,Bangladesh,Male,Under 18,Claim Accepted,87,1
154,2017 Q3,Nigeria,Female,26 to 30,Claim Rejected,74,1
155,2017 Q3,Libya,Female,41 to 50,Claim Rejected,52,1
156,2017 Q3,Ghana,Female,Under 18,Claim Rejected,58,1
157,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,50,1
158,2017 Q3,Jamaica,Male,26 to 30,Claim Rejected,147,1
159,2017 Q3,Ghana,Male,31 to 40,Claim Rejected,51,1
160,2017 Q3,Dominica,Male,71 to 80,Claim Accepted,1,1
161,2017 Q3,India,Male,Under 18,Claim Accepted,65,1
162,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,45,1
163,2017 Q3,Uganda,Female,26 to 30,Claim Rejected,79,1
164,2017 Q3,Jamaica,Female,Under 18,Claim Rejected,59,1
165,2017 Q3,Nigeria,Male,31 to 40,Claim Accepted,70,1
166,2017 Q3,Jamaica,Female,31 to 40,Claim Accepted,89,1
167,2017 Q3,Pakistan,Male,18 to 25,Claim Accepted,61,1
168,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,50,1
169,2017 Q3,Ghana,Male,41 to 50,Claim Rejected,58,1
170,2017 Q3,Nigeria,Female,51 to 60,Claim Rejected,50,1
171,2017 Q3,Ghana,Male,Under 18,Claim Rejected,58,1
172,2017 Q3,Jamaica,Female,Under 18,Claim Rejected,69,1
173,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,51,1
174,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,62,1
175,2017 Q3,Ghana,Female,41 to 50,Claim Rejected,1,1
176,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,21,1
177,2017 Q3,Jamaica,Female,31 to 40,Claim Rejected,58,1
178,2017 Q3,Bangladesh,Female,31 to 40,Claim Accepted,87,1
179,2017 Q3,Pakistan,Female,41 to 50,Claim Accepted,62,1
180,2017 Q3,Jamaica,Female,26 to 30,Claim Accepted,13,1
181,2017 Q3,Ghana,Male,Under 18,Claim Rejected,102,1
182,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,51,1
183,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,80,1
184,2017 Q3,Bangladesh,Female,41 to 50,Claim Rejected,78,1
185,2017 Q3,Jamaica,Female,18 to 25,Claim Accepted,61,1
186,2017 Q3,Nigeria,Male,Under 18,Claim Rejected,61,1
187,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,38,1
188,2017 Q3,Bangladesh,Male,41 to 50,Claim Accepted,87,1
189,2017 Q3,British Citizen,Female,Under 18,Claim Rejected,51,1
190,2017 Q3,Jamaica,Female,41 to 50,Claim Rejected,46,1
191,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,45,1
192,2017 Q3,Sierra Leone,Male,71 to 80,Claim Rejected,60,1
193,2017 Q3,Pakistan,Female,41 to 50,Claim Accepted,73,1
194,2017 Q3,China,Male,Under 18,Claim Rejected,145,1
195,2017 Q3,Nigeria,Male,51 to 60,Claim Accepted,42,1
196,2017 Q3,Pakistan,Male,18 to 25,Claim Rejected,70,1
197,2017 Q3,Bangladesh,Male,31 to 40,Claim Rejected,55,1
198,2017 Q3,Ghana,Female,41 to 50,Claim Rejected,63,1
199,2017 Q3,Cameroon,Female,26 to 30,Claim Accepted,69,1
200,2017 Q3,Australia,Female,26 to 30,Claim Rejected,80,1
201,2017 Q3,India,Female,31 to 40,Claim Rejected,69,1
202,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,68,1
203,2017 Q3,United States,Male,Under 18,Claim Rejected,50,1
204,2017 Q3,Jamaica,Female,31 to 40,Claim Rejected,104,1
205,2017 Q3,Ivory Coast,Female,31 to 40,Claim Rejected,61,1
206,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,83,1
207,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,55,1
208,2017 Q3,Pakistan,Male,41 to 50,Claim Rejected,73,1
209,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,42,1
210,2017 Q3,Ghana,Male,41 to 50,Claim Rejected,68,1
211,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,45,1
212,2017 Q3,Ghana,Male,Under 18,Claim Rejected,102,1
213,2017 Q3,Jamaica,Male,Under 18,Claim Rejected,58,1
214,2017 Q3,Ghana,Female,Under 18,Claim Rejected,51,1
215,2017 Q3,The Gambia,Male,31 to 40,Claim Accepted,50,1
216,2017 Q3,Jamaica,Female,31 to 40,Claim Rejected,52,1
217,2017 Q3,Lebanon,Male,Under 18,Claim Rejected,78,1
218,2017 Q3,British Citizen,Male,Under 18,Claim Accepted,7,1
219,2017 Q3,Iran,Male,Under 18,Claim Rejected,41,1
220,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,65,1
221,2017 Q3,Trinidad & Tobago,Male,61 to 70,Claim Rejected,52,1
222,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,53,1
223,2017 Q3,Pakistan,Male,Under 18,Claim Accepted,76,1
224,2017 Q3,Sudan,Female,31 to 40,Claim Rejected,0,1
225,2017 Q3,Nigeria,Male,41 to 50,Claim Accepted,62,1
226,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,50,1
227,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,0,1
228,2017 Q3,Ghana,Female,31 to 40,Claim Accepted,31,1
229,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,42,1
230,2017 Q3,Jamaica,Female,41 to 50,Claim Accepted,50,1
231,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,84,1
232,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,45,1
233,2017 Q3,Zimbabwe,Female,Under 18,Claim Rejected,78,1
234,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,61,1
235,2017 Q3,Mauritius,Female,31 to 40,Claim Rejected,76,1
236,2017 Q3,Guyana,Female,51 to 60,Claim Rejected,64,1
237,2017 Q3,India,Female,Under 18,Claim Accepted,71,1
238,2017 Q3,Ghana,Female,Under 18,Claim Rejected,58,1
239,2017 Q3,Libya,Male,Under 18,Claim Rejected,52,1
240,2017 Q3,Ivory Coast,Female,Under 18,Claim Rejected,61,1
241,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,58,1
242,2017 Q3,Nigeria,Male,Under 18,Claim Rejected,52,1
243,2017 Q3,Bangladesh,Male,51 to 60,Claim Rejected,0,1
244,2017 Q3,Pakistan,Female,41 to 50,Claim Rejected,55,1
245,2017 Q3,India,Male,31 to 40,Claim Rejected,78,1
246,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,114,1
247,2017 Q3,Nigeria,Male,41 to 50,Claim Rejected,51,1
248,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,51,1
249,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,21,1
250,2017 Q3,Brazil,Male,31 to 40,Claim Rejected,46,1
251,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,56,1
252,2017 Q3,China,Female,Under 18,Claim Rejected,145,1
253,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,61,1
254,2017 Q3,Ghana,Female,41 to 50,Claim Rejected,55,1
255,2017 Q3,Ghana,Female,31 to 40,Claim Accepted,35,1
256,2017 Q3,Uganda,Male,31 to 40,Claim Rejected,48,1
257,2017 Q3,Qatar,Male,41 to 50,Claim Rejected,65,1
258,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,0,1
259,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,80,1
260,2017 Q3,Libya,Male,Under 18,Claim Rejected,52,1
261,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,114,1
262,2017 Q3,Nigeria,Male,18 to 25,Claim Rejected,83,1
263,2017 Q3,Egypt,Female,31 to 40,Claim Accepted,1,1
264,2017 Q3,Nigeria,Male,31 to 40,Claim Accepted,12,1
265,2017 Q3,Iran,Female,31 to 40,Claim Rejected,46,1
266,2017 Q3,Ghana,Male,51 to 60,Claim Rejected,44,1
267,2017 Q3,Jamaica,Female,31 to 40,Claim Accepted,66,1
268,2017 Q3,St Lucia,Female,Under 18,Claim Rejected,52,1
269,2017 Q3,British Citizen,Female,Under 18,Claim Accepted,76,1
270,2017 Q3,India,Female,41 to 50,Claim Accepted,70,1
271,2017 Q3,Jamaica,Female,18 to 25,Claim Rejected,156,1
272,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,8,1
273,2017 Q3,Ghana,Female,41 to 50,Claim Rejected,109,1
274,2017 Q3,Nigeria,Male,41 to 50,Claim Rejected,57,1
275,2017 Q3,Ghana,Female,41 to 50,Claim Rejected,44,1
276,2017 Q3,Jamaica,Female,26 to 30,Claim Accepted,84,1
277,2017 Q3,Albania,Female,31 to 40,Claim Rejected,0,1
278,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,21,1
279,2017 Q3,Jamaica,Female,Under 18,Claim Accepted,65,1
280,2017 Q3,Jamaica,Female,31 to 40,Claim Accepted,54,1
281,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,40,1
282,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,52,1
283,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,80,1
284,2017 Q3,Pakistan,Male,Under 18,Claim Accepted,73,1
285,2017 Q3,Malawi,Female,31 to 40,Claim Rejected,0,1
286,2017 Q3,Pakistan,Male,31 to 40,Claim Accepted,47,1
287,2017 Q3,Pakistan,Female,Under 18,Claim Rejected,74,1
288,2017 Q3,Ghana,Female,41 to 50,Claim Rejected,56,1
289,2017 Q3,Nigeria,Female,18 to 25,Claim Accepted,70,1
290,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,80,1
291,2017 Q3,Ghana,Male,Under 18,Claim Rejected,77,1
292,2017 Q3,Nigeria,Male,41 to 50,Claim Accepted,68,1
293,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,62,1
294,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,81,1
295,2017 Q3,Bangladesh,Female,26 to 30,Claim Rejected,1,1
296,2017 Q3,Ghana,Female,31 to 40,Claim Accepted,43,1
297,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,60,1
298,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,33,1
299,2017 Q3,Pakistan,Female,26 to 30,Claim Accepted,43,1
300,2017 Q3,Jamaica,Male,61 to 70,Claim Rejected,50,1
301,2017 Q3,Ghana,Female,Under 18,Claim Accepted,54,1
302,2017 Q3,Canada,Male,51 to 60,Claim Rejected,70,1
303,2017 Q3,Pakistan,Female,31 to 40,Claim Rejected,88,1
304,2017 Q3,India,Male,31 to 40,Claim Accepted,66,1
305,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,62,1
306,2017 Q3,Nigeria,Female,26 to 30,Claim Accepted,89,1
307,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,89,1
308,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,0,1
309,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,44,1
310,2017 Q3,Ghana,Female,Under 18,Claim Rejected,77,1
311,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,20,1
312,2017 Q3,Pakistan,Male,Under 18,Claim Rejected,55,1
313,2017 Q3,Zimbabwe,Male,61 to 70,Claim Rejected,1,1
314,2017 Q3,Jamaica,Female,41 to 50,Claim Rejected,52,1
315,2017 Q3,Nigeria,Female,41 to 50,Claim Rejected,64,1
316,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,0,1
317,2017 Q3,Congo (Democratic Republic),Female,Under 18,Claim Accepted,70,1
318,2017 Q3,Ivory Coast,Female,31 to 40,Claim Rejected,64,1
319,2017 Q3,Pakistan,Male,26 to 30,Claim Rejected,85,1
320,2017 Q3,Ghana,Female,31 to 40,Claim Accepted,7,1
321,2017 Q3,Egypt,Female,41 to 50,Claim Accepted,80,1
322,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,40,1
323,2017 Q3,Nigeria,Male,Under 18,Claim Accepted,114,1
324,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,1,1
325,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,77,1
326,2017 Q3,Nigeria,Male,41 to 50,Claim Rejected,75,1
327,2017 Q3,Ghana,Female,41 to 50,Claim Accepted,84,1
328,2017 Q3,Pakistan,Male,18 to 25,Claim Rejected,42,1
329,2017 Q3,Ghana,Female,31 to 40,Claim Accepted,53,1
330,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,50,1
331,2017 Q3,Jamaica,Male,Under 18,Claim Rejected,156,1
332,2017 Q3,Eritrea,Female,Under 18,Claim Accepted,42,1
333,2017 Q3,Nigeria,Female,26 to 30,Claim Rejected,61,1
334,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,58,1
335,2017 Q3,Nigeria,Female,31 to 40,Claim Rejected,61,1
336,2017 Q3,Pakistan,Male,31 to 40,Claim Rejected,104,1
337,2017 Q3,Nigeria,Female,31 to 40,Claim Accepted,84,1
338,2017 Q3,Ghana,Male,Under 18,Claim Accepted,39,1
339,2017 Q3,Pakistan,Male,Under 18,Claim Rejected,51,1
340,2017 Q3,Sudan,Female,31 to 40,Claim Accepted,65,1
341,2017 Q3,Nigeria,Female,Under 18,Claim Rejected,61,1
342,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,25,1
343,2017 Q3,Jamaica,Female,31 to 40,Claim Rejected,49,1
344,2017 Q3,United States,Female,41 to 50,Claim Rejected,67,1
345,2017 Q3,Ivory Coast,Male,Under 18,Claim Rejected,61,1
346,2017 Q3,Eritrea,Female,Under 18,Claim Accepted,42,1
347,2017 Q3,Jamaica,Male,Under 18,Claim Rejected,52,1
348,2017 Q3,South Africa,Female,26 to 30,Claim Accepted,50,1
349,2017 Q3,Eritrea,Female,Under 18,Claim Accepted,42,1
350,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,102,1
351,2017 Q3,Ghana,Female,Under 18,Claim Rejected,58,1
352,2017 Q3,Jamaica,Female,31 to 40,Claim Rejected,81,1
353,2017 Q3,Ivory Coast,Male,Under 18,Claim Rejected,77,1
354,2017 Q3,Nigeria,Female,41 to 50,Claim Accepted,62,1
355,2017 Q3,China,Male,Under 18,Claim Rejected,145,1
356,2017 Q3,Pakistan,Female,31 to 40,Claim Rejected,51,1
357,2017 Q3,Jamaica,Female,31 to 40,Claim Accepted,44,1
358,2017 Q3,Lebanon,Female,31 to 40,Claim Rejected,78,1
359,2017 Q3,Pakistan,Male,Under 18,Claim Accepted,73,1
360,2017 Q3,Nigeria,Female,Under 18,Claim Accepted,56,1
361,2017 Q3,Ghana,Female,41 to 50,Claim Accepted,54,1
362,2017 Q3,Ghana,Female,31 to 40,Claim Rejected,55,1
363,2017 Q3,Jamaica,Male,41 to 50,Claim Rejected,55,1
364,2017 Q4,Mexico,Female,26 to 30,Claim Accepted,18,1
365,2017 Q4,Cameroon,Female,31 to 40,Claim Rejected,30,1
366,2017 Q4,Sri Lanka,Female,41 to 50,Claim Rejected,28,1
367,2017 Q4,Nigeria,Male,51 to 60,Claim Rejected,21,1
368,2017 Q4,Jamaica,Female,18 to 25,Claim Accepted,38,1
369,2017 Q4,Nigeria,Female,41 to 50,Claim Accepted,37,1
370,2017 Q4,Ivory Coast,Female,31 to 40,Claim Rejected,15,1
371,2017 Q4,India,Male,Under 18,Claim Rejected,35,1
372,2017 Q4,India,Male,Under 18,Claim Rejected,6,1
373,2017 Q4,Bangladesh,Male,41 to 50,Claim Accepted,30,1
374,2017 Q4,Nigeria,Female,31 to 40,Claim Accepted,37,1
375,2017 Q4,Uganda,Female,41 to 50,Claim Accepted,27,1
376,2017 Q4,Nigeria,Female,Under 18,Claim Rejected,19,1
377,2017 Q4,British Citizen,Female,Under 18,Claim Rejected,22,1
378,2017 Q4,Morocco,Female,Under 18,Claim Accepted,18,1
379,2017 Q4,Nigeria,Female,31 to 40,Claim Accepted,27,1
380,2017 Q4,Nigeria,Female,31 to 40,Claim Rejected,20,1
381,2017 Q4,Nigeria,Female,Under 18,Claim Rejected,38,1
382,2017 Q4,Ghana,Female,26 to 30,Claim Accepted,28,1
383,2017 Q4,Ghana,Female,31 to 40,Claim Rejected,20,1
384,2017 Q4,Unspecified Nationality,Female,31 to 40,Claim Rejected,10,1
385,2017 Q4,Nigeria,Female,Under 18,Claim Rejected,21,1
386,2017 Q4,Bangladesh,Female,31 to 40,Claim Rejected,18,1
387,2017 Q4,Grenada,Female,41 to 50,Claim Accepted,14,1
388,2017 Q4,Nigeria,Female,31 to 40,Claim Accepted,26,1
389,2017 Q4,Zimbabwe,Female,Under 18,Claim Rejected,26,1
390,2017 Q4,Afghanistan,Female,71 to 80,Claim Accepted,22,1
391,2017 Q4,Sierra Leone,Female,41 to 50,Claim Accepted,1,1
392,2017 Q4,Jamaica,Female,41 to 50,Claim Accepted,7,1
393,2017 Q4,Pakistan,Female,26 to 30,Claim Rejected,31,1
